id	component	owner	kind	url	privilege	tier	requested	resolved	integrity	cadence	rollback	consumers
lazy-nvim	lazy.nvim plugin manager: cloned at --branch=stable on a workstation, at the revision lazy-lock.json names by CI	folke	git	https://github.com/folke/lazy.nvim.git	user	version-line	stable branch (bootstrap), lazy-lock.json (CI)	branch tip on a workstation, lazy-lock.json in CI	https-tls	rolling	restore lazy-lock.json and rerun the job; on a workstation, check out the previous commit in ~/.local/share/nvim/lazy/lazy.nvim	nvim-lazyvim/.config/nvim/lazy-lock.json,nvim-lazyvim/.config/nvim/lua/config/lazy.lua,.github/workflows/validate.yml
firstmate-repo	FirstMate crew coordinator	kunchenguid	git	https://github.com/kunchenguid/firstmate.git	user	version-line	default-branch	firstmate_commit in ai state	https-tls	rolling	git -C ~/.local/share/firstmate checkout <commit>	common/install-ai.sh
treehouse-installer	Treehouse worktree isolation installer	kunchenguid	remote-script	https://kunchenguid.github.io/treehouse/install.sh	user	reviewed-live	live	treehouse_digest in ai state	https-tls	rolling	./scripts/install-ai.sh --no-firstmate then rerun	common/install-ai.sh
no-mistakes-installer	No Mistakes push gate installer	kunchenguid	remote-script	https://raw.githubusercontent.com/kunchenguid/no-mistakes/main/docs/install.sh	user	reviewed-live	main	no_mistakes_digest in ai state	https-tls	rolling	./scripts/install-ai.sh --no-firstmate then rerun	common/install-ai.sh
validation-image-fedora	CI and clean-install validation base image	Fedora Project	container-image	docker.io/library/fedora:44	root	immutable-verified	44	sha256:43b29f65a41eb9c35e1cd5323e3bdf3b655c2357a9f4f1ff2f9c2798e5045d80	image-digest-pinned	manual-bump	pin the previous digest	.github/workflows/validate.yml,tests/integration/fedora-clean-install.sh
smoke-image-busybox	Podman rootless smoke-test image	Docker Official Images	container-image	docker.io/library/busybox:stable	user	version-line	stable	podman image inspect	registry-tls	rolling	podman rmi	platforms/fedora/scripts/verify-containers.sh
smoke-image-alpine	Podman machine architecture smoke image	Docker Official Images	container-image	docker.io/library/alpine:latest	user	version-line	latest	podman image inspect	registry-tls	rolling	podman rmi	platforms/macos/scripts/install-containers.sh,platforms/macos/scripts/verify.sh
dotfiles-repository	This repository, checked out by CI	KasperElbo	git	https://github.com/KasperElbo/dotfiles.git	user	exact-commit	github.sha	git rev-parse HEAD	git-commit-pinned	per-commit	git checkout the previous commit	.github/workflows/real-install.yml
parrot-boundary-image	Parrot base image for the CI boundary check (not VM evidence)	Parrot Security	container-image	docker.io/parrotsec/core:latest	root	version-line	latest	docker image inspect	registry-tls	rolling	docker rmi	.github/workflows/real-install.yml
netcoredbg-legacy-release	netcoredbg x64 build used as a debugger contract control	Samsung	archive	https://github.com/Samsung/netcoredbg/releases/download/3.1.3-1062/netcoredbg-osx-amd64.tar.gz	user	exact-version	3.1.3-1062	release tag	https-tls	manual-bump	pin the previous release tag	tests/integration/macos-dotnet-debug.sh
pin-freshness-probe	Upstream tag and branch refs read by the pin freshness report	GitHub	git	https://github.com	user	reviewed-live	refs of the repositories config/pin-freshness.tsv names	git ls-remote output	https-tls	rolling	not-applicable	scripts/check-pin-freshness.sh,config/pin-freshness.tsv
