platform	command	provider	owner	required_by	classification
fedora	sway-session-start	platforms/fedora/stow/sway/.local/bin/sway-session-start	sway	sway	repository-file
fedora-wsl	bash	bash	base	base	bootstrap-prerequisite
fedora-wsl	curl	curl	base	base	bootstrap-prerequisite
fedora-wsl	dnf	dnf	base	base	bootstrap-prerequisite
fedora-wsl	git	git	base	base	bootstrap-prerequisite
fedora-wsl	rpm	rpm	base	base	bootstrap-prerequisite
fedora-wsl	sudo	sudo	base	base	bootstrap-prerequisite
fedora-wsl	awk	gawk	base	base	supported-base
fedora-wsl	basename	coreutils	base	base	supported-base
fedora-wsl	cat	coreutils	base	base	supported-base
fedora-wsl	chmod	coreutils	base	base	supported-base
fedora-wsl	cut	coreutils	base	base	supported-base
fedora-wsl	date	coreutils	base	base	supported-base
fedora-wsl	df	coreutils	base	base	supported-base
fedora-wsl	dirname	coreutils	base	base	supported-base
fedora-wsl	find	findutils	base	base	supported-base
fedora-wsl	getent	glibc-common	base	base	supported-base
fedora-wsl	grep	grep	base	base	supported-base
fedora-wsl	id	coreutils	base	base	supported-base
fedora-wsl	install	coreutils	base	base	supported-base
fedora-wsl	mkdir	coreutils	base	base	supported-base
fedora-wsl	mktemp	coreutils	base	base	supported-base
fedora-wsl	mv	coreutils	base	base	supported-base
fedora-wsl	paste	coreutils	base	base	supported-base
fedora-wsl	pwd	bash	base	base	supported-base
fedora-wsl	readlink	coreutils	base	base	supported-base
fedora-wsl	realpath	coreutils	base	base	supported-base
fedora-wsl	rm	coreutils	base	base	supported-base
fedora-wsl	sed	sed	base	base	supported-base
fedora-wsl	sleep	coreutils	base	base	supported-base
fedora-wsl	sort	coreutils	base	base	supported-base
fedora-wsl	tr	coreutils	base	base	supported-base
fedora-wsl	uname	coreutils	base	base	supported-base
fedora-wsl	wc	coreutils	base	base	supported-base
fedora-wsl	wslpath	wsl-runtime	base	base	supported-base
fedora-wsl	bat	bat	base	base	baseline-package
fedora-wsl	delta	git-delta	base	base	baseline-package
fedora-wsl	eza	eza	base	base	baseline-package
fedora-wsl	fd	fd-find	base	base	baseline-package
fedora-wsl	fzf	fzf	base	base	baseline-package
fedora-wsl	gh	gh	base	base	baseline-package
fedora-wsl	jq	jq	base	base	baseline-package
fedora-wsl	mise	mise	base	base	baseline-package
fedora-wsl	nvim	neovim	base	base	baseline-package
fedora-wsl	ps	procps-ng	base	base	baseline-package
fedora-wsl	rg	ripgrep	base	base	baseline-package
fedora-wsl	scp	openssh-clients	base	base	baseline-package
fedora-wsl	sftp	openssh-clients	base	base	baseline-package
fedora-wsl	shellcheck	ShellCheck	base	base	baseline-package
fedora-wsl	sqlite3	sqlite	base	base	baseline-package
fedora-wsl	ssh	openssh-clients	base	base	baseline-package
fedora-wsl	starship	starship	base	base	baseline-package
fedora-wsl	stow	stow	base	base	baseline-package
fedora-wsl	tmux	tmux	base	base	baseline-package
fedora-wsl	zoxide	zoxide	base	base	baseline-package
fedora-wsl	zsh	zsh	base	base	baseline-package
fedora-wsl	wsl-copy	platforms/fedora-wsl/stow/interop/.local/bin/wsl-copy	base	base	repository-file
fedora-wsl	wsl-open	platforms/fedora-wsl/stow/interop/.local/bin/wsl-open	base	base	repository-file
fedora-wsl	wsl-paste	platforms/fedora-wsl/stow/interop/.local/bin/wsl-paste	base	base	repository-file
macos	curl	macos	base	base	bootstrap-prerequisite
macos	git	xcode-command-line-tools	base	base	bootstrap-prerequisite
macos	sudo	macos	base	base	bootstrap-prerequisite
macos	xcode-select	macos	base	base	bootstrap-prerequisite
macos	awk	macos	base	base	supported-base
macos	date	macos	base	base	supported-base
macos	df	macos	base	base	supported-base
macos	find	macos	base	base	supported-base
macos	readlink	macos	base	base	supported-base
macos	ditto	macos	base	dictation	supported-base
macos	hdiutil	macos	base	dictation	supported-base
parrot-ctf	apt-get	apt	base	base	bootstrap-prerequisite
parrot-ctf	curl	curl	base	base	bootstrap-prerequisite
parrot-ctf	git	git	base	base	bootstrap-prerequisite
parrot-ctf	sudo	sudo	base	base	bootstrap-prerequisite
parrot-ctf	awk	mawk	base	base	supported-base
parrot-ctf	date	coreutils	base	base	supported-base
parrot-ctf	df	coreutils	base	base	supported-base
parrot-ctf	find	findutils	base	base	supported-base
parrot-ctf	readlink	coreutils	base	base	supported-base
parrot-ctf	systemctl	systemd	base	base	supported-base
