capability	platform	profile	cli_flag	default	dependencies	conflicts	provider	packages	stow	verifier	state	docs	provenance	status	installers	ci_scope
latex	fedora	workstation	--latex	auto	base	-	dnf	texlive-scheme-medium,latexmk,biber,texlive-biblatex,texlive-latexindent	-	platforms/fedora/scripts/verify.sh	-	docs/platforms/fedora.md#defaults-that-resolve-themselves	native	implemented	platforms/fedora/scripts/install-latex.sh	excluded:a multi-gigabyte TeX Live install on every scheduled run; the profile is checked by tests/test-latex-profile.sh and the cheatsheets job compiles with the same toolchain
latex	fedora-wsl	workstation	--latex	disabled	base	-	dnf	texlive-scheme-medium,latexmk,biber,texlive-biblatex,texlive-latexindent	-	platforms/fedora-wsl/scripts/verify.sh	-	docs/workflows/latex.md#latex-editing-workflow	native	implemented	platforms/fedora/scripts/install-latex.sh	excluded:a multi-gigabyte TeX Live install on every scheduled run; the profile is checked by tests/test-latex-profile.sh and the cheatsheets job compiles with the same toolchain
latex	macos	workstation	-	disabled	-	-	user-managed	-	-	none	-	docs/platforms/macos.md#latex-is-externally-managed-on-macos	external-user-managed	unsupported	-	-
latex	parrot-ctf	ctf-guest	-	disabled	-	-	unsupported	-	-	none	-	docs/platforms/parrot-ctf.md	intentional-absence	unsupported	-	-
ocaml	fedora	workstation	--ocaml	disabled	base	-	dnf+opam	bzip2,bubblewrap,gcc,gcc-c++,m4,make,opam,patch,pkgconf-pkg-config,unzip	-	common/verify-ocaml.sh	ocaml	docs/workflows/development.md#ocaml-development	native+ecosystem	implemented	platforms/fedora/scripts/install-ocaml.sh	-
ocaml	fedora-wsl	workstation	--ocaml	disabled	base	-	dnf+opam	bubblewrap,m4,opam,patch,pkgconf-pkg-config	-	common/verify-ocaml.sh	ocaml	docs/workflows/development.md#ocaml-development	native+ecosystem	implemented	platforms/fedora/scripts/install-ocaml.sh	-
ocaml	macos	workstation	--ocaml	disabled	base	-	homebrew+opam	opam,gmp,pkg-config	-	common/verify-ocaml.sh	ocaml	docs/workflows/development.md#ocaml-development	native+ecosystem	implemented	platforms/macos/scripts/install-ocaml.sh	-
ocaml	parrot-ctf	ctf-guest	-	disabled	-	-	unsupported	-	-	none	-	docs/platforms/parrot-ctf.md	intentional-absence	unsupported	-	-
sway	fedora	workstation	--sway	disabled	base	-	dnf	blueman,brightnessctl,cliphist,dex-autostart,fuzzel,grim,libnotify,lxqt-policykit,mako,nm-connection-editor,pavucontrol,playerctl,slurp,sway,swaybg,swayidle,swaylock,sway-systemd,swappy,waybar,wireplumber,xdg-desktop-portal-gtk,xdg-desktop-portal-wlr	sway,waybar	platforms/fedora/scripts/verify.sh	-	docs/platforms/fedora.md#optional-sway-session	native	implemented	platforms/fedora/scripts/install-sway.sh	-
sway	fedora-wsl	workstation	-	disabled	-	-	unsupported	-	-	none	-	docs/platforms/fedora-wsl.md	intentional-absence	unsupported	-	-
sway	macos	workstation	-	disabled	-	-	unsupported	-	-	none	-	docs/platforms/macos.md	intentional-absence	unsupported	-	-
sway	parrot-ctf	ctf-guest	-	disabled	-	-	unsupported	-	-	none	-	docs/platforms/parrot-ctf.md	intentional-absence	unsupported	-	-
vm-host	fedora	workstation	--vm-host	disabled	base	vm-guest	dnf	edk2-ovmf,libvirt-client,libvirt-daemon-config-network,libvirt-daemon-driver-qemu,qemu-img,qemu-kvm,spice-gtk,spice-server,swtpm,swtpm-tools,virt-install,virt-manager,virt-viewer	-	platforms/fedora/scripts/verify-vm-host.sh	vm-host	docs/profiles/vm-host.md	native	implemented	platforms/fedora/scripts/install-vm-host.sh	-
vm-guest	fedora	vm-guest	--vm-guest	disabled	base	vm-host,hardware	dnf	qemu-guest-agent,spice-vdagent,xclip	-	platforms/fedora/scripts/verify-vm-guest.sh	vm-guest	docs/profiles/vm-guest.md	native	implemented	platforms/fedora/scripts/install-vm-guest.sh	-
vm-guest	parrot-ctf	ctf-guest	-	enabled	base	vm-host	apt	qemu-guest-agent,spice-vdagent	-	platforms/parrot-ctf/scripts/verify.sh	parrot-ctf	docs/platforms/parrot-ctf.md	native	implemented	platforms/parrot-ctf/scripts/install-guest-integration.sh	-
vm-host	parrot-ctf	ctf-guest	-	disabled	-	-	unsupported	-	-	none	-	docs/platforms/parrot-ctf.md	intentional-absence	unsupported	-	-
hardware	fedora	workstation	--hardware	disabled	base	vm-guest	dnf+copr	asusctl,asusctl-rog-gui,fwupd,mokutil,pciutils,kmodtool,akmods,openssl,akmod-nvidia,xorg-x11-drv-nvidia-cuda,amd-gpu-firmware,mesa-dri-drivers,mesa-va-drivers,mesa-vulkan-drivers	-	platforms/fedora/scripts/verify-asus-hardware.sh	hardware	docs/platforms/fedora.md#asus-laptop-hardware	native+third-party	implemented	platforms/fedora/scripts/install-asus-hardware.sh	-
hardware	fedora-wsl	workstation	-	disabled	-	-	unsupported	-	-	none	-	docs/platforms/fedora-wsl.md	intentional-absence	unsupported	-	-
hardware	macos	workstation	-	disabled	-	-	unsupported	-	-	none	-	docs/platforms/macos.md	intentional-absence	unsupported	-	-
hardware	parrot-ctf	ctf-guest	-	disabled	-	-	unsupported	-	-	none	-	docs/platforms/parrot-ctf.md	intentional-absence	unsupported	-	-
hardening	fedora	workstation	--hardening	disabled	base	-	dnf	audit,dnf5-plugin-automatic	-	platforms/fedora/scripts/verify-hardening.sh	hardening	docs/profiles/hardening.md	native	implemented	platforms/fedora/scripts/install-hardening.sh,platforms/fedora/lib/hardening.sh	-
hardening	fedora-wsl	workstation	-	disabled	-	-	unsupported	-	-	none	-	docs/platforms/fedora-wsl.md	intentional-absence	unsupported	-	-
hardening	macos	workstation	-	disabled	-	-	unsupported	-	-	none	-	docs/platforms/macos.md	intentional-absence	unsupported	-	-
hardening	parrot-ctf	ctf-guest	-	disabled	-	-	unsupported	-	-	none	-	docs/platforms/parrot-ctf.md	intentional-absence	unsupported	-	-
desktop-tools	fedora	workstation	--desktop-tools	disabled	base	-	dnf+rpmfusion	gimp,pdfarranger,mpv,skanpage	-	platforms/fedora/scripts/verify-desktop-tools.sh	desktop-tools	docs/profiles/desktop-tools.md	native+third-party	implemented	platforms/fedora/scripts/install-desktop-tools.sh	-
desktop-tools	fedora-wsl	workstation	-	disabled	-	-	unsupported	-	-	none	-	docs/platforms/fedora-wsl.md	intentional-absence	unsupported	-	-
desktop-tools	macos	workstation	-	disabled	-	-	unsupported	-	-	none	-	docs/platforms/macos.md	intentional-absence	unsupported	-	-
desktop-tools	parrot-ctf	ctf-guest	-	disabled	-	-	unsupported	-	-	none	-	docs/platforms/parrot-ctf.md	intentional-absence	unsupported	-	-
dictation	fedora	workstation	--dictation	disabled	base	-	dnf+pinned-rpm	wtype,gtk-layer-shell	-	platforms/fedora/scripts/verify-dictation.sh	dictation	docs/profiles/dictation.md	native+pinned	implemented	platforms/fedora/scripts/install-dictation.sh	-
dictation	fedora-wsl	workstation	-	disabled	-	-	windows-host	-	-	none	-	docs/profiles/dictation.md#windows	windows-owned	unsupported	-	-
dictation	parrot-ctf	ctf-guest	-	disabled	-	-	unsupported	-	-	none	-	docs/platforms/parrot-ctf.md	intentional-absence	unsupported	-	-
terminal	fedora-wsl	workstation	-	disabled	-	-	windows-host	-	-	none	-	docs/platforms/fedora-wsl.md	windows-owned	unsupported	-	-
terminal	fedora	workstation	-	enabled	base	-	base	-	-	platforms/fedora/scripts/verify.sh	-	docs/platforms/fedora.md#terminal	native	implemented	-	-
terminal	macos	workstation	-	enabled	base	-	base	-	-	platforms/macos/scripts/verify.sh	-	docs/platforms/macos.md#terminal	native	implemented	-	-
terminal	parrot-ctf	ctf-guest	-	enabled	base	-	repository+upstream-font-only	-	-	platforms/parrot-ctf/scripts/verify.sh	-	docs/platforms/parrot-ctf.md#terminal	native+upstream	implemented	-	-
terminal	windows	windows-host	-	enabled	base	-	scoop-noctty	noctty	-	platforms/windows/verify.ps1	-	docs/platforms/windows.md#terminal	third-party-bucket	implemented	platforms/windows/install.ps1,platforms/windows/manifest.psd1	-
containers	fedora	workstation	--containers	disabled	base	-	dnf	podman,podman-compose	-	platforms/fedora/scripts/verify-containers.sh	containers	docs/profiles/containers.md	native	implemented	platforms/fedora/scripts/install-containers.sh	-
containers	fedora-wsl	workstation	--containers	disabled	base	-	dnf	podman,podman-compose	-	platforms/fedora-wsl/scripts/verify-containers.sh	containers	docs/profiles/containers.md	native	implemented	platforms/fedora/scripts/install-containers.sh	-
containers	macos	workstation	--containers	disabled	base	-	homebrew	podman,podman-compose	-	platforms/macos/scripts/verify.sh	macos-containers	docs/profiles/containers.md	native	implemented	platforms/macos/scripts/install-containers.sh	excluded:the hosted macOS runner is itself a VM, so vfkit has no nested virtualisation and podman machine start exits 1 there however it is installed; checked instead by the manual check in docs/platforms/macos.md#optional-containers
containers	parrot-ctf	ctf-guest	-	disabled	-	-	unsupported	-	-	none	-	docs/platforms/parrot-ctf.md	intentional-absence	unsupported	-	-
tailscale	fedora	workstation	--tailscale	disabled	base	-	dnf-tailscale	tailscale	-	platforms/fedora/scripts/verify-tailscale.sh	tailscale	docs/profiles/tailscale.md	third-party-repository	implemented	platforms/fedora/scripts/install-tailscale.sh	-
tailscale	fedora-wsl	workstation	-	disabled	-	-	user-managed	-	-	none	-	docs/profiles/tailscale.md	external-user-managed	unsupported	-	-
tailscale	macos	workstation	--tailscale	disabled	base	-	homebrew-cask	tailscale-app	-	platforms/macos/scripts/verify.sh	macos-tailscale	docs/profiles/tailscale.md	native	implemented	platforms/macos/scripts/install-tailscale.sh	-
tailscale	parrot-ctf	ctf-guest	-	disabled	-	-	unsupported	-	-	none	-	docs/platforms/parrot-ctf.md	intentional-absence	unsupported	-	-
dictation	macos	workstation	--dictation	disabled	base	-	upstream-dmg	ghost-pepper	-	platforms/macos/scripts/verify.sh	macos-dictation	docs/profiles/dictation.md#macos	upstream+pinned	implemented	platforms/macos/scripts/install-dictation.sh	excluded:needs a desktop session and a microphone no runner has; verified by the manual checklist in docs/profiles/dictation.md
dictation	windows	windows-host	-Handy	disabled	base	-	scoop-extras	handy	-	platforms/windows/verify.ps1	-	docs/profiles/dictation.md#windows	upstream-bucket	implemented	platforms/windows/install.ps1,platforms/windows/manifest.psd1	-
ai	fedora	workstation	--ai	disabled	base	-	mise	claude-code,herdr	-	common/verify-ai.sh	ai	docs/profiles/ai.md	ecosystem	implemented	common/install-ai.sh	-
ai	fedora-wsl	workstation	--ai	disabled	base	-	mise	claude-code,herdr	-	common/verify-ai.sh	ai	docs/profiles/ai.md	ecosystem	implemented	common/install-ai.sh	-
ai	macos	workstation	--ai	disabled	base	-	mise	claude-code,herdr	-	common/verify-ai.sh	ai	docs/profiles/ai.md	ecosystem	implemented	common/install-ai.sh	-
ai	parrot-ctf	ctf-guest	-	disabled	-	-	unsupported	-	-	none	-	docs/platforms/parrot-ctf.md	intentional-absence	unsupported	-	-
codex	fedora	workstation	--codex	disabled	ai	-	mise-npm	@openai/codex	-	common/verify-ai.sh	ai	docs/profiles/ai.md	ecosystem	implemented	common/install-ai.sh	-
codex	fedora-wsl	workstation	--codex	disabled	ai	-	mise-npm	@openai/codex	-	common/verify-ai.sh	ai	docs/profiles/ai.md	ecosystem	implemented	common/install-ai.sh	-
codex	macos	workstation	--codex	disabled	ai	-	mise-npm	@openai/codex	-	common/verify-ai.sh	ai	docs/profiles/ai.md	ecosystem	implemented	common/install-ai.sh	-
firstmate	fedora	workstation	--firstmate	disabled	ai	-	mise+upstream-scripts	firstmate,treehouse,no-mistakes,gh-axi,chrome-devtools-axi,lavish-axi,tasks-axi,quota-axi	-	common/verify-ai.sh	ai	docs/profiles/ai.md	ecosystem+upstream	implemented	common/install-ai.sh	-
firstmate	fedora-wsl	workstation	--firstmate	disabled	ai	-	mise+upstream-scripts	firstmate,treehouse,no-mistakes,gh-axi,chrome-devtools-axi,lavish-axi,tasks-axi,quota-axi	-	common/verify-ai.sh	ai	docs/profiles/ai.md	ecosystem+upstream	implemented	common/install-ai.sh	-
firstmate	macos	workstation	--firstmate	disabled	ai	-	mise+upstream-scripts	firstmate,treehouse,no-mistakes,gh-axi,chrome-devtools-axi,lavish-axi,tasks-axi,quota-axi	-	common/verify-ai.sh	ai	docs/profiles/ai.md	ecosystem+upstream	implemented	common/install-ai.sh	-
gnhf	fedora	workstation	--gnhf	disabled	ai	-	mise-npm	gnhf	-	common/verify-ai.sh	ai	docs/profiles/ai.md	ecosystem	implemented	common/install-ai.sh	-
gnhf	fedora-wsl	workstation	--gnhf	disabled	ai	-	mise-npm	gnhf	-	common/verify-ai.sh	ai	docs/profiles/ai.md	ecosystem	implemented	common/install-ai.sh	-
gnhf	macos	workstation	--gnhf	disabled	ai	-	mise-npm	gnhf	-	common/verify-ai.sh	ai	docs/profiles/ai.md	ecosystem	implemented	common/install-ai.sh	-
backpass	fedora	workstation	--backpass	disabled	ai	-	mise-npm	backpass,acpx,lavish-axi	-	common/verify-ai.sh	ai	docs/profiles/ai.md	ecosystem	implemented	common/install-ai.sh	-
backpass	fedora-wsl	workstation	--backpass	disabled	ai	-	mise-npm	backpass,acpx,lavish-axi	-	common/verify-ai.sh	ai	docs/profiles/ai.md	ecosystem	implemented	common/install-ai.sh	-
backpass	macos	workstation	--backpass	disabled	ai	-	mise-npm	backpass,acpx,lavish-axi	-	common/verify-ai.sh	ai	docs/profiles/ai.md	ecosystem	implemented	common/install-ai.sh	-
dev-workflows	fedora	workstation	--dev-workflows	disabled	base	-	repository	-	-	scripts/test-dev-workflows.sh	-	docs/workflows/development.md#development-workflow-smoke-tests	repository	implemented	-	-
dev-workflows	fedora-wsl	workstation	--dev-workflows	disabled	base	-	repository	-	-	scripts/test-dev-workflows.sh	-	docs/workflows/development.md#development-workflow-smoke-tests	repository	implemented	-	-
dev-workflows	macos	workstation	--dev-workflows	disabled	base	-	repository	-	-	scripts/test-dev-workflows.sh	-	docs/platforms/macos.md	repository	implemented	-	-
dev-workflows	parrot-ctf	ctf-guest	-	disabled	-	-	unsupported	-	-	none	-	docs/platforms/parrot-ctf.md	intentional-absence	unsupported	-	-
